"","Year","Warhead","Number","Yield"
"266",1998,"B61-7/-11, B83-1",950,"5-150Kt (Variable Yield)"
"267",1998,"AGM-28B (W28)",NA,"70-1,450Kt"
"268",1998,"AGM-69A (W69)",NA,"170-200Kt"
"269",1998,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"270",1998,"AGM-129 (W80-1)",430,"10-1,200Kt"
"271",1999,"B61-7/-11, B83-1",950,"5-150Kt (Variable Yield)"
"272",1999,"AGM-28B (W28)",NA,"70-1,450Kt"
"273",1999,"AGM-69A (W69)",NA,"170-200Kt"
"274",1999,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"275",1999,"AGM-129 (W80-1)",430,"10-1,200Kt"
"276",2000,"B61-7/-11, B83-1",950,"5-150Kt (Variable Yield)"
"277",2000,"AGM-28B (W28)",NA,"70-1,450Kt"
"278",2000,"AGM-69A (W69)",NA,"170-200Kt"
"279",2000,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"280",2000,"AGM-129 (W80-1)",430,"10-1,200Kt"
"281",2001,"B61-7/-11, B83-1",800,"5-150Kt (Variable Yield)"
"282",2001,"AGM-28B (W28)",NA,"70-1,450Kt"
"283",2001,"AGM-69A (W69)",NA,"170-200Kt"
"284",2001,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"285",2001,"AGM-129 (W80-1)",430,"10-1,200Kt"
"286",2002,"B61-7/-11, B83-1",800,"5-150Kt (Variable Yield)"
"287",2002,"AGM-28B (W28)",NA,"70-1,450Kt"
"288",2002,"AGM-69A (W69)",NA,"170-200Kt"
"289",2002,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"290",2002,"AGM-129 (W80-1)",430,"10-1,200Kt"
"291",2003,"B61-7/-11, B83-1",800,"5-150Kt (Variable Yield)"
"292",2003,"AGM-28B (W28)",NA,"70-1,450Kt"
"293",2003,"AGM-69A (W69)",NA,"170-200Kt"
"294",2003,"AGM-86B (W80-1)",430,"5-150Kt (Variable Yield)"
"295",2003,"AGM-129 (W80-1)",430,"10-1,200Kt"
"296",2004,"B61-7/-11, B83-1",200,"5-150Kt (Variable Yield)"
"297",2004,"AGM-28B (W28)",NA,"70-1,450Kt"
"298",2004,"AGM-69A (W69)",NA,"170-200Kt"
"299",2004,"AGM-86B (W80-1)",450,"5-150Kt (Variable Yield)"
"300",2004,"AGM-129 (W80-1)",400,"10-1,200Kt"
"301",2005,"B61-7/-11, B83-1",555,"5-150Kt (Variable Yield)"
"302",2005,"AGM-28B (W28)",NA,"70-1,450Kt"
"303",2005,"AGM-69A (W69)",NA,"170-200Kt"
"304",2005,"AGM-86B (W80-1)",1000,"5-150Kt (Variable Yield)"
"305",2005,"AGM-129 (W80-1)",400,"10-1,200Kt"
"306",2006,"B61-7/-11, B83-1",555,"5-150Kt (Variable Yield)"
"307",2006,"AGM-28B (W28)",NA,"70-1,450Kt"
"308",2006,"AGM-69A (W69)",NA,"170-200Kt"
"309",2006,"AGM-86B (W80-1)",1000,"5-150Kt (Variable Yield)"
"310",2006,"AGM-129 (W80-1)",400,"10-1,200Kt"
"311",2007,"B61-7/-11, B83-1",555,"5-150Kt (Variable Yield)"
"312",2007,"AGM-28B (W28)",NA,"70-1,450Kt"
"313",2007,"AGM-69A (W69)",NA,"170-200Kt"
